time,court,status,reservation_link,court_id,date
8:00 p.m.,Court 10,Not available,,2,2025-08-14
8:00 p.m.,Court 9,Not available,,2,2025-08-14
9:00 p.m.,Court 10,Not available,,2,2025-08-14
9:00 p.m.,Court 9,Not available,,2,2025-08-14
10:00 p.m.,Court 10,Not available,,2,2025-08-14
10:00 p.m.,Court 9,Not available,,2,2025-08-14
6:00 a.m.,Court 10,Not available,,2,2025-08-15
6:00 a.m.,Court 9,Not available,,2,2025-08-15
7:00 a.m.,Court 10,Not available,,2,2025-08-15
7:00 a.m.,Court 9,Not available,,2,2025-08-15
8:00 a.m.,Court 10,Not available,,2,2025-08-15
8:00 a.m.,Court 9,Not available,,2,2025-08-15
9:00 a.m.,Court 10,Not available,,2,2025-08-15
9:00 a.m.,Court 9,Not available,,2,2025-08-15
10:00 a.m.,Court 10,Not available,,2,2025-08-15
10:00 a.m.,Court 9,Not available,,2,2025-08-15
11:00 a.m.,Court 10,Not available,,2,2025-08-15
11:00 a.m.,Court 9,Not available,,2,2025-08-15
12:00 p.m.,Court 10,Not available,,2,2025-08-15
12:00 p.m.,Court 9,Reserve this time,,2,2025-08-15
1:00 p.m.,Court 10,Reserve this time,,2,2025-08-15
1:00 p.m.,Court 9,Reserve this time,,2,2025-08-15
2:00 p.m.,Court 10,Reserve this time,,2,2025-08-15
2:00 p.m.,Court 9,Not available,,2,2025-08-15
3:00 p.m.,Court 10,Reserve this time,,2,2025-08-15
3:00 p.m.,Court 9,Not available,,2,2025-08-15
4:00 p.m.,Court 10,Not available,,2,2025-08-15
4:00 p.m.,Court 9,Not available,,2,2025-08-15
5:00 p.m.,Court 10,Not available,,2,2025-08-15
5:00 p.m.,Court 9,Not available,,2,2025-08-15
6:00 p.m.,Court 10,Not available,,2,2025-08-15
6:00 p.m.,Court 9,Not available,,2,2025-08-15
7:00 p.m.,Court 10,Not available,,2,2025-08-15
7:00 p.m.,Court 9,Not available,,2,2025-08-15
8:00 p.m.,Court 10,Not available,,2,2025-08-15
8:00 p.m.,Court 9,Not available,,2,2025-08-15
9:00 p.m.,Court 10,Not available,,2,2025-08-15
9:00 p.m.,Court 9,Not available,,2,2025-08-15
10:00 p.m.,Court 10,Not available,,2,2025-08-15
10:00 p.m.,Court 9,Not available,,2,2025-08-15
6:00 a.m.,Court 10,Not available,,2,2025-08-16
6:00 a.m.,Court 9,Not available,,2,2025-08-16
7:00 a.m.,Court 10,Not available,,2,2025-08-16
7:00 a.m.,Court 9,Not available,,2,2025-08-16
8:00 a.m.,Court 10,Not available,,2,2025-08-16
8:00 a.m.,Court 9,Not available,,2,2025-08-16
9:00 a.m.,Court 10,Not available,,2,2025-08-16
9:00 a.m.,Court 9,Not available,,2,2025-08-16
10:00 a.m.,Court 10,Not available,,2,2025-08-16
10:00 a.m.,Court 9,Not available,,2,2025-08-16
11:00 a.m.,Court 10,Not available,,2,2025-08-16
11:00 a.m.,Court 9,Not available,,2,2025-08-16
12:00 p.m.,Court 10,Not available,,2,2025-08-16
12:00 p.m.,Court 9,Not available,,2,2025-08-16
1:00 p.m.,Court 10,Not available,,2,2025-08-16
1:00 p.m.,Court 9,Not available,,2,2025-08-16
2:00 p.m.,Court 10,Not available,,2,2025-08-16
2:00 p.m.,Court 9,Not available,,2,2025-08-16
3:00 p.m.,Court 10,Not available,,2,2025-08-16
3:00 p.m.,Court 9,Not available,,2,2025-08-16
4:00 p.m.,Court 10,Not available,,2,2025-08-16
4:00 p.m.,Court 9,Not available,,2,2025-08-16
5:00 p.m.,Court 10,Not available,,2,2025-08-16
5:00 p.m.,Court 9,Not available,,2,2025-08-16
6:00 p.m.,Court 10,Not available,,2,2025-08-16
6:00 p.m.,Court 9,Not available,,2,2025-08-16
7:00 p.m.,Court 10,Not available,,2,2025-08-16
7:00 p.m.,Court 9,Not available,,2,2025-08-16
8:00 p.m.,Court 10,Not available,,2,2025-08-16
8:00 p.m.,Court 9,Not available,,2,2025-08-16
9:00 p.m.,Court 10,Not available,,2,2025-08-16
9:00 p.m.,Court 9,Not available,,2,2025-08-16
10:00 p.m.,Court 10,Not available,,2,2025-08-16
10:00 p.m.,Court 9,Not available,,2,2025-08-16
6:00 a.m.,Court 10,Not available,,2,2025-08-17
6:00 a.m.,Court 9,Not available,,2,2025-08-17
7:00 a.m.,Court 10,Not available,,2,2025-08-17
7:00 a.m.,Court 9,Not available,,2,2025-08-17
8:00 a.m.,Court 10,Not available,,2,2025-08-17
