court_id,date,time,court,status,reservation_link,is_available
2,2025-08-01,9:00 a.m.,Court 9,Booked,,False
2,2025-08-01,10:00 a.m.,Court 10,Booked,,False
2,2025-08-01,10:00 a.m.,Court 9,Booked,,False
2,2025-08-01,11:00 a.m.,Court 10,Booked,,False
2,2025-08-01,11:00 a.m.,Court 9,Booked,,False
2,2025-08-01,12:00 p.m.,Court 10,Booked,,False
2,2025-08-01,12:00 p.m.,Court 9,Booked,,False
2,2025-08-01,1:00 p.m.,Court 10,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/652914,False
2,2025-08-01,1:00 p.m.,Court 9,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/652913,False
2,2025-08-01,2:00 p.m.,Court 10,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/652916,False
2,2025-08-01,2:00 p.m.,Court 9,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/652915,False
2,2025-08-01,3:00 p.m.,Court 10,Booked,,False
2,2025-08-01,3:00 p.m.,Court 9,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/652917,False
2,2025-08-01,4:00 p.m.,Court 10,Booked,,False
2,2025-08-01,4:00 p.m.,Court 9,Booked,,False
2,2025-08-01,5:00 p.m.,Court 10,Booked,,False
2,2025-08-01,5:00 p.m.,Court 9,Booked,,False
2,2025-08-01,6:00 p.m.,Court 10,Booked,,False
2,2025-08-01,6:00 p.m.,Court 9,Booked,,False
2,2025-08-01,7:00 p.m.,Court 10,Booked,,False
2,2025-08-01,7:00 p.m.,Court 9,Booked,,False
2,2025-08-01,8:00 p.m.,Court 10,Not Available,,False
2,2025-08-01,8:00 p.m.,Court 9,Not Available,,False
2,2025-08-01,9:00 p.m.,Court 10,Not Available,,False
2,2025-08-01,9:00 p.m.,Court 9,Not Available,,False
2,2025-08-01,10:00 p.m.,Court 10,Not Available,,False
2,2025-08-01,10:00 p.m.,Court 9,Not Available,,False
2,2025-08-02,6:00 a.m.,Court 10,Not Available,,False
2,2025-08-02,6:00 a.m.,Court 9,Not Available,,False
2,2025-08-02,7:00 a.m.,Court 10,Not Available,,False
2,2025-08-02,7:00 a.m.,Court 9,Not Available,,False
2,2025-08-02,8:00 a.m.,Court 10,Not Available,,False
2,2025-08-02,8:00 a.m.,Court 9,Not Available,,False
2,2025-08-02,9:00 a.m.,Court 10,Booked,,False
2,2025-08-02,9:00 a.m.,Court 9,Booked,,False
2,2025-08-02,10:00 a.m.,Court 10,Booked,,False
2,2025-08-02,10:00 a.m.,Court 9,Booked,,False
2,2025-08-02,11:00 a.m.,Court 10,Booked,,False
2,2025-08-02,11:00 a.m.,Court 9,Booked,,False
2,2025-08-02,12:00 p.m.,Court 10,Booked,,False
2,2025-08-02,12:00 p.m.,Court 9,Booked,,False
2,2025-08-02,1:00 p.m.,Court 10,Booked,,False
2,2025-08-02,1:00 p.m.,Court 9,Booked,,False
2,2025-08-02,2:00 p.m.,Court 10,Booked,,False
2,2025-08-02,2:00 p.m.,Court 9,Booked,,False
2,2025-08-02,3:00 p.m.,Court 10,Booked,,False
2,2025-08-02,3:00 p.m.,Court 9,Booked,,False
2,2025-08-02,4:00 p.m.,Court 10,Booked,,False
2,2025-08-02,4:00 p.m.,Court 9,Booked,,False
2,2025-08-02,5:00 p.m.,Court 10,Booked,,False
2,2025-08-02,5:00 p.m.,Court 9,Booked,,False
2,2025-08-02,6:00 p.m.,Court 10,Booked,,False
2,2025-08-02,6:00 p.m.,Court 9,Booked,,False
2,2025-08-02,7:00 p.m.,Court 10,Booked,,False
2,2025-08-02,7:00 p.m.,Court 9,Booked,,False
2,2025-08-02,8:00 p.m.,Court 10,Not Available,,False
2,2025-08-02,8:00 p.m.,Court 9,Not Available,,False
2,2025-08-02,9:00 p.m.,Court 10,Not Available,,False
2,2025-08-02,9:00 p.m.,Court 9,Not Available,,False
2,2025-08-02,10:00 p.m.,Court 10,Not Available,,False
2,2025-08-02,10:00 p.m.,Court 9,Not Available,,False
2,2025-08-03,6:00 a.m.,Court 10,Not Available,,False
2,2025-08-03,6:00 a.m.,Court 9,Not Available,,False
2,2025-08-03,7:00 a.m.,Court 10,Not Available,,False
2,2025-08-03,7:00 a.m.,Court 9,Not Available,,False
2,2025-08-03,8:00 a.m.,Court 10,Not Available,,False
2,2025-08-03,8:00 a.m.,Court 9,Not Available,,False
2,2025-08-03,9:00 a.m.,Court 10,Booked,,False
2,2025-08-03,9:00 a.m.,Court 9,Booked,,False
2,2025-08-03,10:00 a.m.,Court 10,Booked,,False
2,2025-08-03,10:00 a.m.,Court 9,Booked,,False
2,2025-08-03,11:00 a.m.,Court 10,Booked,,False
2,2025-08-03,11:00 a.m.,Court 9,Booked,,False
2,2025-08-03,12:00 p.m.,Court 10,Booked,,False
2,2025-08-03,12:00 p.m.,Court 9,Booked,,False
2,2025-08-03,1:00 p.m.,Court 10,Booked,,False
2,2025-08-03,1:00 p.m.,Court 9,Booked,,False
2,2025-08-03,2:00 p.m.,Court 10,Booked,,False
2,2025-08-03,2:00 p.m.,Court 9,Booked,,False
2,2025-08-03,3:00 p.m.,Court 10,Booked,,False
2,2025-08-03,3:00 p.m.,Court 9,Booked,,False
2,2025-08-03,4:00 p.m.,Court 10,Booked,,False
2,2025-08-03,4:00 p.m.,Court 9,Booked,,False
2,2025-08-03,5:00 p.m.,Court 10,Booked,,False
2,2025-08-03,5:00 p.m.,Court 9,Booked,,False
2,2025-08-03,6:00 p.m.,Court 10,Booked,,False
2,2025-08-03,6:00 p.m.,Court 9,Booked,,False
2,2025-08-03,7:00 p.m.,Court 10,Booked,,False
2,2025-08-03,7:00 p.m.,Court 9,Booked,,False
2,2025-08-03,8:00 p.m.,Court 10,Not Available,,False
2,2025-08-03,8:00 p.m.,Court 9,Not Available,,False
2,2025-08-03,9:00 p.m.,Court 10,Not Available,,False
2,2025-08-03,9:00 p.m.,Court 9,Not Available,,False
2,2025-08-03,10:00 p.m.,Court 10,Not Available,,False
2,2025-08-03,10:00 p.m.,Court 9,Not Available,,False
2,2025-08-04,6:00 a.m.,Court 10,Not Available,,False
2,2025-08-04,6:00 a.m.,Court 9,Not Available,,False
2,2025-08-04,7:00 a.m.,Court 10,Not Available,,False
2,2025-08-04,7:00 a.m.,Court 9,Not Available,,False
2,2025-08-04,8:00 a.m.,Court 10,Not Available,,False
2,2025-08-04,8:00 a.m.,Court 9,Not Available,,False
2,2025-08-04,9:00 a.m.,Court 10,Booked,,False
2,2025-08-04,9:00 a.m.,Court 9,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/652971,False
2,2025-08-04,10:00 a.m.,Court 10,Booked,,False
2,2025-08-04,10:00 a.m.,Court 9,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/652973,False
2,2025-08-04,11:00 a.m.,Court 10,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/652976,False
2,2025-08-04,11:00 a.m.,Court 9,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/652975,False
2,2025-08-04,12:00 p.m.,Court 10,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/652978,False
2,2025-08-04,12:00 p.m.,Court 9,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/652977,False
2,2025-08-04,1:00 p.m.,Court 10,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/652980,False
2,2025-08-04,1:00 p.m.,Court 9,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/652979,False
2,2025-08-04,2:00 p.m.,Court 10,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/652982,False
2,2025-08-04,2:00 p.m.,Court 9,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/652981,False
2,2025-08-04,3:00 p.m.,Court 10,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/652984,False
2,2025-08-04,3:00 p.m.,Court 9,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/652983,False
2,2025-08-04,4:00 p.m.,Court 10,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/652986,False
2,2025-08-04,4:00 p.m.,Court 9,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/652985,False
2,2025-08-04,5:00 p.m.,Court 10,Booked,,False
2,2025-08-04,5:00 p.m.,Court 9,Booked,,False
2,2025-08-04,6:00 p.m.,Court 10,Booked,,False
2,2025-08-04,6:00 p.m.,Court 9,Booked,,False
2,2025-08-04,7:00 p.m.,Court 10,Booked,,False
2,2025-08-04,7:00 p.m.,Court 9,Booked,,False
2,2025-08-04,8:00 p.m.,Court 10,Not Available,,False
2,2025-08-04,8:00 p.m.,Court 9,Not Available,,False
2,2025-08-04,9:00 p.m.,Court 10,Not Available,,False
2,2025-08-04,9:00 p.m.,Court 9,Not Available,,False
2,2025-08-04,10:00 p.m.,Court 10,Not Available,,False
2,2025-08-04,10:00 p.m.,Court 9,Not Available,,False
2,2025-08-05,6:00 a.m.,Court 10,Not Available,,False
2,2025-08-05,6:00 a.m.,Court 9,Not Available,,False
2,2025-08-05,7:00 a.m.,Court 10,Not Available,,False
2,2025-08-05,7:00 a.m.,Court 9,Not Available,,False
2,2025-08-05,8:00 a.m.,Court 10,Not Available,,False
2,2025-08-05,8:00 a.m.,Court 9,Not Available,,False
2,2025-08-05,9:00 a.m.,Court 10,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/652994,False
2,2025-08-05,9:00 a.m.,Court 9,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/652993,False
2,2025-08-05,10:00 a.m.,Court 10,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/652996,False
2,2025-08-05,10:00 a.m.,Court 9,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/652995,False
2,2025-08-05,11:00 a.m.,Court 10,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/652998,False
2,2025-08-05,11:00 a.m.,Court 9,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/652997,False
2,2025-08-05,12:00 p.m.,Court 10,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/653000,False
2,2025-08-05,12:00 p.m.,Court 9,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/652999,False
2,2025-08-05,1:00 p.m.,Court 10,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/653002,False
