court_id,date,time,court,status,reservation_link,is_available
2,2025-08-12,6:00 a.m.,Court 10,Not available,,False
2,2025-08-12,6:00 a.m.,Court 9,Not available,,False
2,2025-08-12,7:00 a.m.,Court 10,Not available,,False
2,2025-08-12,7:00 a.m.,Court 9,Not available,,False
2,2025-08-12,8:00 a.m.,Court 10,Not available,,False
2,2025-08-12,8:00 a.m.,Court 9,Not available,,False
2,2025-08-12,9:00 a.m.,Court 10,Not available,,False
2,2025-08-12,9:00 a.m.,Court 9,Not available,,False
2,2025-08-12,10:00 a.m.,Court 10,Not available,,False
2,2025-08-12,10:00 a.m.,Court 9,Not available,,False
2,2025-08-12,11:00 a.m.,Court 10,Not available,,False
2,2025-08-12,11:00 a.m.,Court 9,Not available,,False
2,2025-08-12,12:00 p.m.,Court 10,Reserve this time,,True
2,2025-08-12,12:00 p.m.,Court 9,Not available,,False
2,2025-08-12,1:00 p.m.,Court 10,Reserve this time,,True
2,2025-08-12,1:00 p.m.,Court 9,Not available,,False
2,2025-08-12,2:00 p.m.,Court 10,Reserve this time,,True
2,2025-08-12,2:00 p.m.,Court 9,Reserve this time,,True
2,2025-08-12,3:00 p.m.,Court 10,Reserve this time,,True
2,2025-08-12,3:00 p.m.,Court 9,Reserve this time,,True
2,2025-08-12,4:00 p.m.,Court 10,Not available,,False
2,2025-08-12,4:00 p.m.,Court 9,Not available,,False
2,2025-08-12,5:00 p.m.,Court 10,Not available,,False
2,2025-08-12,5:00 p.m.,Court 9,Not available,,False
2,2025-08-12,6:00 p.m.,Court 10,Not available,,False
2,2025-08-12,6:00 p.m.,Court 9,Not available,,False
2,2025-08-12,7:00 p.m.,Court 10,Not available,,False
2,2025-08-12,7:00 p.m.,Court 9,Not available,,False
2,2025-08-12,8:00 p.m.,Court 10,Not available,,False
2,2025-08-12,8:00 p.m.,Court 9,Not available,,False
2,2025-08-12,9:00 p.m.,Court 10,Not available,,False
2,2025-08-12,9:00 p.m.,Court 9,Not available,,False
