park_id,date,time,court_id,status,reservation_link,is_available
4,2025-08-12,10:00 a.m.,11,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660266,True
4,2025-08-12,10:00 a.m.,12,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660267,True
4,2025-08-12,11:00 a.m.,10,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660268,True
4,2025-08-12,11:00 a.m.,11,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660269,True
4,2025-08-12,11:00 a.m.,12,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660270,True
4,2025-08-12,12:00 p.m.,10,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660271,True
4,2025-08-12,12:00 p.m.,11,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660272,True
4,2025-08-12,12:00 p.m.,12,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660273,True
4,2025-08-12,1:00 p.m.,10,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660274,True
4,2025-08-12,1:00 p.m.,11,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660275,True
4,2025-08-12,1:00 p.m.,12,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660276,True
4,2025-08-12,2:00 p.m.,10,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660277,True
4,2025-08-12,2:00 p.m.,11,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660278,True
4,2025-08-12,2:00 p.m.,12,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660279,True
4,2025-08-12,3:00 p.m.,10,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660280,True
4,2025-08-12,3:00 p.m.,11,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660281,True
4,2025-08-12,3:00 p.m.,12,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660282,True
4,2025-08-12,4:00 p.m.,10,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660283,True
4,2025-08-12,4:00 p.m.,11,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660284,True
4,2025-08-12,4:00 p.m.,12,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660285,True
4,2025-08-12,5:00 p.m.,10,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660286,True
4,2025-08-12,5:00 p.m.,11,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660287,True
4,2025-08-13,8:00 a.m.,10,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660295,True
4,2025-08-13,8:00 a.m.,11,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660296,True
4,2025-08-13,8:00 a.m.,12,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660297,True
4,2025-08-13,9:00 a.m.,10,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660298,True
4,2025-08-13,9:00 a.m.,11,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660299,True
4,2025-08-13,9:00 a.m.,12,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660300,True
4,2025-08-13,10:00 a.m.,10,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660301,True
4,2025-08-13,10:00 a.m.,12,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660303,True
4,2025-08-13,11:00 a.m.,10,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660304,True
4,2025-08-13,11:00 a.m.,11,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660305,True
4,2025-08-13,11:00 a.m.,12,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660306,True
4,2025-08-13,12:00 p.m.,10,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660307,True
4,2025-08-13,12:00 p.m.,11,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660308,True
4,2025-08-13,12:00 p.m.,12,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660309,True
4,2025-08-13,1:00 p.m.,10,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660310,True
4,2025-08-13,1:00 p.m.,11,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660311,True
4,2025-08-13,1:00 p.m.,12,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660312,True
4,2025-08-13,2:00 p.m.,10,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660313,True
4,2025-08-13,2:00 p.m.,11,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660314,True
4,2025-08-13,2:00 p.m.,12,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660315,True
4,2025-08-13,3:00 p.m.,10,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660316,True
4,2025-08-13,3:00 p.m.,11,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660317,True
4,2025-08-13,3:00 p.m.,12,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660318,True
4,2025-08-13,4:00 p.m.,10,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660319,True
4,2025-08-13,4:00 p.m.,11,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660320,True
4,2025-08-13,4:00 p.m.,12,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660321,True
4,2025-08-13,5:00 p.m.,10,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660322,True
4,2025-08-13,5:00 p.m.,11,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660323,True
4,2025-08-13,5:00 p.m.,12,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660324,True
4,2025-08-13,6:00 p.m.,10,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660325,True
4,2025-08-13,6:00 p.m.,12,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660327,True
4,2025-08-13,7:00 p.m.,11,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660329,True
4,2025-08-13,7:00 p.m.,12,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660330,True
4,2025-08-14,8:00 a.m.,10,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660331,True
4,2025-08-14,8:00 a.m.,11,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660332,True
4,2025-08-14,8:00 a.m.,12,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660333,True
4,2025-08-14,9:00 a.m.,10,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660334,True
4,2025-08-14,9:00 a.m.,11,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660335,True
4,2025-08-14,9:00 a.m.,12,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660336,True
4,2025-08-14,10:00 a.m.,10,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660337,True
4,2025-08-14,10:00 a.m.,11,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660338,True
4,2025-08-14,10:00 a.m.,12,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660339,True
4,2025-08-14,11:00 a.m.,10,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660340,True
4,2025-08-14,11:00 a.m.,11,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660341,True
4,2025-08-14,11:00 a.m.,12,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660342,True
4,2025-08-14,12:00 p.m.,10,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660343,True
4,2025-08-14,12:00 p.m.,11,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660344,True
4,2025-08-14,12:00 p.m.,12,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660345,True
4,2025-08-14,1:00 p.m.,10,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660346,True
4,2025-08-14,1:00 p.m.,11,Reserve this time,https://www.nycgovparks.org/tennisreservation/reserve/660347,True
